id,empleado_id,cliente_id,fecha,hora,fecha_cerrado,hora_cerrado,serie,forma_pago_id,cuenta,subtotal,iva,total,facturado,cancelado
80017,1520,15399,06/06/2022,10:59:41,06/06/2022,11:01:59,NDPLI032VA8,5,5417,1334.05,213.45,1547.5,SI,NO
80018,1520,15547,06/06/2022,11:02:18,06/06/2022,11:03:07,NDPLI025XGA,1,,166.81,26.69,193.5,NO,NO
80019,1520,15577,06/06/2022,11:03:30,06/06/2022,11:06:05,NDPLI020615,1,,52.59,8.41,61,SI,NO
80020,1571,14671,06/06/2022,11:06:09,06/06/2022,11:06:31,NDPKA029DOJ,1,,60.35,9.66,70.01,NO,NO
80021,1520,15056,06/06/2022,11:06:29,06/06/2022,11:06:48,NDPLI03122G,1,,64.22,10.28,74.5,NO,NO
80022,1571,14678,06/06/2022,11:06:49,06/06/2022,11:06:55,NDPKA033VEF,1,,84.91,13.59,98.5,NO,NO
80023,1520,15992,06/06/2022,11:07:04,06/06/2022,11:09:39,NDPLI0253Q2,5,1107,234.06,37.44,271.5,NO,NO
80024,1571,14683,06/06/2022,11:08:13,06/06/2022,11:08:22,NDPKA026V12,1,,30.6,4.9,35.5,NO,NO
80025,1571,14707,06/06/2022,11:09:10,06/06/2022,11:10:03,NDPKA0245N4,1,,196.46,31.44,227.9,NO,NO
80026,1520,15242,06/06/2022,11:09:51,06/06/2022,11:10:12,NDPLI029Q3J,1,,94.31,15.09,109.4,NO,NO
80027,1571,14714,06/06/2022,11:11:10,06/06/2022,11:11:19,NDPKA017GE5,1,,38.36,6.14,44.5,NO,NO
80028,1520,15109,06/06/2022,11:11:43,06/06/2022,11:14:23,NDPLI023OMV,5,5942,778.19,124.51,902.7,SI,NO
80029,1520,15810,06/06/2022,11:14:42,06/06/2022,11:15:06,NDPLI025EKJ,1,,38.28,6.13,44.41,NO,NO
80030,1520,14735,06/06/2022,11:15:22,06/06/2022,11:15:32,NDPLI024A7R,1,,63.28,10.12,73.4,NO,NO
80031,1520,15076,06/06/2022,11:15:46,06/06/2022,11:16:09,NDPLI030LPF,1,,48.11,7.69,55.8,NO,NO
80032,1520,15089,06/06/2022,11:21:37,06/06/2022,11:22:06,NDPLI027YKE,1,,45.26,7.24,52.5,NO,NO
80033,1520,15092,06/06/2022,11:22:15,06/06/2022,11:22:30,NDPLI0242TQ,1,,80.17,12.83,93,NO,NO
80034,1520,23435,06/06/2022,11:24:54,06/06/2022,11:24:59,NDPLI029VXO,1,,16.38,2.62,19,NO,NO
80035,1520,23440,06/06/2022,11:25:14,06/06/2022,11:25:26,NDPLI026UV0,1,,43.71,6.99,50.7,NO,NO
80036,1520,23469,06/06/2022,11:26:07,06/06/2022,11:26:11,NDPLI029U6C,1,,15.52,2.48,18,NO,NO
80037,1520,15122,06/06/2022,11:28:31,06/06/2022,11:29:01,NDPLI028VGS,1,,38.71,6.19,44.9,NO,NO
80038,1520,23471,06/06/2022,11:30:03,06/06/2022,11:30:27,NDPLI020ZHG,1,,51.29,8.21,59.5,NO,NO
80039,1520,15811,06/06/2022,11:44:50,06/06/2022,11:45:05,NDPLI027PYF,1,,40.12,6.42,46.54,NO,NO
80040,1520,15724,06/06/2022,11:52:37,06/06/2022,11:54:21,NDPLI031Z7I,1,,166.37,26.63,193,SI,NO
80041,1571,15265,06/06/2022,11:53:39,06/06/2022,11:53:49,NDPKA034YLY,1,,40.43,6.47,46.9,NO,NO
80042,1520,15725,06/06/2022,11:55:39,06/06/2022,11:55:39,NDPLI035VKZ,5,7247,50,0,50,NO,NO
80043,1520,15746,06/06/2022,11:57:13,06/06/2022,11:59:01,NDPLI03052Q,1,,271.38,43.41,314.79,SI,NO
80044,1520,15838,06/06/2022,11:59:17,06/06/2022,11:59:22,NDPLI036CYC,1,,74.57,11.93,86.5,NO,NO
80045,1520,15410,06/06/2022,11:59:35,06/06/2022,11:59:47,NDPLI0369F1,1,,34.91,5.59,40.5,NO,NO
80046,1520,15747,06/06/2022,12:03:10,06/06/2022,12:04:58,NDPLI019CVO,5,8498,1789.66,286.35,2076.01,SI,NO
80047,1520,15720,06/06/2022,12:05:28,06/06/2022,12:06:31,NDPLI030YCL,1,,133.45,21.35,154.8,SI,NO
80048,1520,15897,06/06/2022,12:06:47,06/06/2022,12:07:09,NDPLI032HG1,1,,85.6,13.7,99.3,NO,NO
80049,1520,15552,06/06/2022,12:11:07,06/06/2022,12:11:44,NDPLI0244SH,1,,86.6,13.85,100.45,NO,NO
80050,1520,23441,06/06/2022,12:12:09,06/06/2022,12:13:35,NDPLI027LB0,5,7511,341.81,54.69,396.5,NO,NO
80051,1520,23451,06/06/2022,12:13:54,06/06/2022,12:14:16,NDPLI028V5C,1,,77.16,12.35,89.51,NO,NO
80052,1520,23502,06/06/2022,12:14:26,06/06/2022,12:14:38,NDPLI028T0J,1,,24.48,3.91,28.39,NO,NO
80053,1520,15800,06/06/2022,12:17:24,06/06/2022,12:18:27,NDPLI0295IB,1,,361.21,57.79,419,SI,NO
80054,1520,23520,06/06/2022,12:18:57,06/06/2022,12:19:08,NDPLI036NU5,1,,53.88,8.62,62.5,NO,NO
80055,1520,15580,06/06/2022,12:19:31,06/06/2022,12:19:35,NDPLI0292JE,1,,17.16,2.75,19.91,NO,NO
80056,1571,16002,06/06/2022,12:20:39,06/06/2022,12:22:47,NDPKA029JCE,1,,974.31,155.89,1130.2,NO,NO
80057,1571,23522,06/06/2022,12:23:27,06/06/2022,12:23:36,NDPKA029RS8,1,,80.86,12.94,93.8,NO,NO
80058,1571,16003,06/06/2022,12:24:18,06/06/2022,12:24:26,NDPKA0307D5,1,,22.84,3.65,26.49,NO,NO
80059,1571,16015,06/06/2022,12:24:41,06/06/2022,12:24:52,NDPKA0263UF,1,,35.69,5.71,41.4,NO,NO
80060,1571,16022,06/06/2022,12:25:14,06/06/2022,12:25:36,NDPKA0270NK,1,,51.21,8.19,59.4,NO,NO
80061,1571,23524,06/06/2022,12:29:51,06/06/2022,12:30:04,NDPKA032AWQ,1,,30.17,4.83,35,NO,NO
80062,1571,16157,06/06/2022,12:31:17,06/06/2022,12:32:35,NDPKA027269,1,,434.48,69.52,504,SI,NO
80063,1571,18032,06/06/2022,12:33:09,06/06/2022,12:33:25,NDPKA030SQN,1,,102.93,16.47,119.4,NO,NO
80064,1571,17003,06/06/2022,12:34:59,06/06/2022,12:35:32,NDPKA036G3D,1,,46.29,7.41,53.7,NO,NO
80065,1571,18039,06/06/2022,12:35:48,06/06/2022,12:39:59,NDPKA0355IE,1,,58.45,9.35,67.8,NO,NO
80066,1571,17205,06/06/2022,12:40:23,06/06/2022,12:43:39,NDPKA024NVU,4,2620,194.13,31.06,225.19,SI,NO
80067,1571,17370,06/06/2022,12:43:56,06/06/2022,12:44:07,NDPKA033EIK,1,,12.26,1.96,14.22,NO,NO
80068,1571,17489,06/06/2022,12:44:18,06/06/2022,12:44:56,NDPKA032N3H,1,,224.14,35.86,260,NO,NO
80069,1571,17713,06/06/2022,12:45:16,06/06/2022,12:45:53,NDPKA031IZQ,1,,16.79,2.69,19.48,NO,NO
80070,1571,18066,06/06/2022,12:50:21,06/06/2022,12:50:47,NDPKA023QQD,1,,87.34,13.98,101.32,NO,NO
80071,1571,18130,06/06/2022,12:54:40,06/06/2022,12:55:40,NDPKA0284QN,1,,288.27,46.13,334.4,NO,NO
80072,1571,18154,06/06/2022,12:56:48,06/06/2022,12:57:28,NDPKA038BEY,1,,105.18,16.83,122.01,NO,NO
80073,1571,18163,06/06/2022,12:57:44,06/06/2022,12:58:01,NDPKA035PGW,1,,88.79,14.21,103,NO,NO
80074,1571,18168,06/06/2022,12:58:24,06/06/2022,12:58:57,NDPKA034DHU,1,,94.75,15.15,109.9,NO,NO
80075,1571,18179,06/06/2022,13:01:26,06/06/2022,13:02:16,NDPKA022UWP,1,,115.94,18.56,134.5,NO,NO
80076,1571,18405,06/06/2022,13:05:02,06/06/2022,13:06:10,NDPKA020BQG,1,,243.61,38.97,282.58,NO,NO
80077,1520,18414,06/06/2022,13:09:36,06/06/2022,13:09:40,NDPLI031LLC,1,,40.43,6.47,46.9,NO,NO
80078,1520,18416,06/06/2022,13:10:21,06/06/2022,13:10:44,NDPLI0178U3,1,,169.83,27.17,197,NO,NO
80079,1520,18421,06/06/2022,13:11:26,06/06/2022,13:11:51,NDPLI023EGU,1,,22.24,3.56,25.8,NO,NO
80080,1520,18428,06/06/2022,13:12:13,06/06/2022,13:12:18,NDPLI020NW5,1,,65.09,10.41,75.5,NO,NO
80081,1520,18525,06/06/2022,13:12:31,06/06/2022,13:12:48,NDPLI020WD4,1,,37.85,6.05,43.9,NO,NO
80082,1520,19133,06/06/2022,13:13:11,06/06/2022,13:13:28,NDPLI019ADW,1,,12.5,2,14.5,NO,NO
80083,1520,19074,06/06/2022,13:13:38,06/06/2022,13:14:01,NDPLI028QZL,1,,91.98,14.72,106.7,NO,NO
80084,1571,18884,06/06/2022,13:16:31,06/06/2022,13:23:56,NDPKA024C7A,4,5397,6808.03,1089.28,7897.3096,SI,NO
80085,1520,19149,06/06/2022,13:26:40,06/06/2022,13:27:05,NDPLI025XW1,1,,54.23,8.67,62.9,NO,NO
80086,1520,19153,06/06/2022,13:28:46,06/06/2022,13:29:10,NDPLI033XI3,1,,68.45,10.95,79.4,NO,NO
80087,1520,19165,06/06/2022,13:32:01,06/06/2022,13:32:18,NDPLI019P0B,1,,45.6,7.3,52.9,NO,NO
80088,1571,19167,06/06/2022,13:34:45,06/06/2022,13:34:50,NDPKA029II0,1,,5.6,0.9,6.5,NO,NO
80089,1571,19171,06/06/2022,13:35:00,06/06/2022,13:35:27,NDPKA021LVZ,1,,174.91,27.99,202.9,NO,NO
80090,1520,19182,06/06/2022,13:38:27,06/06/2022,13:38:41,NDPLI033YP9,1,,331.9,53.1,385,NO,NO
80091,1520,19188,06/06/2022,13:39:01,06/06/2022,13:39:06,NDPLI0260VG,1,,34.31,5.49,39.8,NO,NO
80092,1571,19077,06/06/2022,13:51:50,06/06/2022,13:52:28,NDPKA024UZI,1,,61.64,9.86,71.5,NO,NO
80093,1520,19482,06/06/2022,13:56:28,06/06/2022,13:57:12,NDPLI034DUN,1,,24.4,3.9,28.3,NO,NO
80094,1520,19480,06/06/2022,13:57:21,06/06/2022,13:58:48,NDPLI028DYD,4,6207,90.43,14.47,104.9,SI,NO
80095,1520,19491,06/06/2022,13:59:17,06/06/2022,13:59:23,NDPLI035V6B,1,,77.16,12.35,89.51,NO,NO
80096,1520,19494,06/06/2022,14:01:00,06/06/2022,14:01:06,NDPLI015RB9,1,,24.57,3.93,28.5,NO,NO
80097,1520,19500,06/06/2022,14:01:28,06/06/2022,14:02:08,NDPLI025TG5,1,,113.79,18.21,132,NO,NO
80098,1520,19504,06/06/2022,14:02:28,06/06/2022,14:02:33,NDPLI026Z1W,1,,81.47,13.04,94.51,NO,NO
80099,1520,19518,06/06/2022,14:03:03,06/06/2022,14:03:13,NDPLI020CKK,1,,7.33,1.17,8.5,NO,NO
80100,1520,19541,06/06/2022,14:03:33,06/06/2022,14:04:16,NDPLI023M50,1,,38.71,6.19,44.9,NO,NO
80101,1520,19449,06/06/2022,14:08:08,06/06/2022,14:09:09,NDPLI0309FE,1,,383.32,61.34,444.66,SI,NO
80102,1520,19687,06/06/2022,14:10:12,06/06/2022,14:10:26,NDPLI0189ZK,1,,19.4,3.1,22.5,NO,NO
80103,1520,19699,06/06/2022,14:13:32,06/06/2022,14:14:02,NDPLI023UC8,1,,155.35,24.86,180.21,NO,NO
80104,1520,20130,06/06/2022,14:14:41,06/06/2022,14:14:55,NDPLI024GDS,1,,18,2.88,20.88,NO,NO
80105,1571,20475,06/06/2022,14:16:59,06/06/2022,14:17:20,NDPKA0359R2,1,,283.19,45.32,328.51,NO,NO
80106,543,20451,06/06/2022,14:18:06,06/06/2022,14:30:04,NDPDU0299OQ,2,71,1403.7899,224.61,1628.3999,SI,NO
80107,1571,20542,06/06/2022,14:19:30,06/06/2022,14:20:40,NDPKA027J4I,1,,125.26,20.04,145.3,SI,NO
80108,1571,20431,06/06/2022,14:21:06,06/06/2022,14:21:14,NDPKA02382N,1,,81.47,13.04,94.51,NO,NO
80109,1571,20476,06/06/2022,14:22:29,06/06/2022,14:24:12,NDPKA029YU8,1,,314.33,50.29,364.62,NO,NO
80110,1520,20550,06/06/2022,14:28:57,06/06/2022,14:29:57,NDPLI036D7U,1,,120.52,19.28,139.8,SI,NO
80111,1520,21429,06/06/2022,14:32:55,06/06/2022,14:34:09,NDPLI0295WF,1,,42.24,6.76,49,NO,NO
80112,1520,20957,06/06/2022,14:35:02,06/06/2022,14:35:13,NDPLI024N03,1,,36.98,5.92,42.9,NO,NO
80113,1520,21068,06/06/2022,14:35:39,06/06/2022,14:36:16,NDPLI034K3T,1,,69.31,11.09,80.4,NO,NO
80114,1520,21211,06/06/2022,14:37:12,06/06/2022,14:37:45,NDPLI027EBO,1,,145.44,23.26,168.7,NO,NO
80115,1520,20634,06/06/2022,14:39:09,06/06/2022,14:40:22,NDPLI0350AL,1,,201.37,32.22,233.59,NO,NO
80116,1520,20901,06/06/2022,14:43:35,06/06/2022,14:43:43,NDPLI0298JJ,1,,34.05,5.45,39.5,NO,NO
80117,1520,21700,06/06/2022,14:47:05,06/06/2022,14:47:24,NDPLI030U93,1,,165.52,26.48,192,SI,NO
80118,1520,20914,06/06/2022,14:48:17,06/06/2022,14:48:39,NDPLI03404E,1,,160.18,25.64,185.82,NO,NO
80119,1520,20934,06/06/2022,14:49:01,06/06/2022,14:49:06,NDPLI0286E4,1,,14.57,2.33,16.9,NO,NO
80120,1520,20939,06/06/2022,14:49:29,06/06/2022,14:49:39,NDPLI0382BD,1,,74.57,11.93,86.5,NO,NO
80121,1520,21071,06/06/2022,14:57:42,06/06/2022,14:57:56,NDPLI032U9U,1,,38.36,6.14,44.5,NO,NO
80122,1520,21309,06/06/2022,15:02:24,06/06/2022,15:02:54,NDPLI023WS0,1,,123.02,19.69,142.71,NO,NO
80123,1520,21317,06/06/2022,15:08:28,06/06/2022,15:09:48,NDPLI033279,1,,578.27,92.53,670.8001,NO,NO
80124,1520,21338,06/06/2022,15:10:22,06/06/2022,15:10:27,NDPLI020E64,1,,25.78,4.12,29.9,NO,NO
80125,1571,23529,06/06/2022,15:12:37,06/06/2022,15:12:46,NDPKA028LFM,1,,34.31,5.49,39.8,NO,NO
80126,1571,23540,06/06/2022,15:14:45,06/06/2022,15:15:59,NDPKA0298NV,1,,515.78,82.52,598.3001,NO,NO
80127,1571,23544,06/06/2022,15:33:47,06/06/2022,15:33:55,NDPKA0327CR,1,,30.6,4.9,35.5,NO,NO
80128,1571,23558,06/06/2022,15:45:34,06/06/2022,15:45:56,NDPKA031CPS,1,,75.86,12.14,88,NO,NO
80129,1571,21208,06/06/2022,15:47:08,06/06/2022,15:50:32,NDPKA034YDH,5,8431,351.13,56.17,407.3,SI,NO
80130,1520,23559,06/06/2022,15:48:21,06/06/2022,15:48:26,NDPLI030N1T,1,,55.95,8.95,64.9,NO,NO
80131,1571,23568,06/06/2022,15:56:15,06/06/2022,15:56:50,NDPKA032F9M,1,,20.34,3.25,23.59,NO,NO
80132,1520,21305,06/06/2022,16:05:21,06/06/2022,16:07:58,NDPLI024RMN,1,,814.66,130.35,945.01,SI,NO
80133,1520,23572,06/06/2022,16:08:19,06/06/2022,16:08:26,NDPLI034I5G,1,,44.4,7.1,51.5,NO,NO
80134,1520,21226,06/06/2022,16:09:28,06/06/2022,16:11:26,NDPLI035XOJ,5,3132,226.46,36.24,262.7,NO,NO
80135,1520,21234,06/06/2022,16:21:13,06/06/2022,16:21:16,NDPLI023NYL,1,,43.03,6.88,49.91,NO,NO
80136,1520,21243,06/06/2022,16:21:36,06/06/2022,16:21:40,NDPLI028NAM,1,,24.57,3.93,28.5,NO,NO
80137,1571,21635,06/06/2022,16:23:41,06/06/2022,16:23:49,NDPKA026S1O,1,,49.57,7.93,57.5,NO,NO
80138,1571,21656,06/06/2022,16:28:55,06/06/2022,16:29:15,NDPKA036T9G,1,,110.27,17.65,127.92,NO,NO
80139,1571,21789,06/06/2022,16:29:29,06/06/2022,16:30:38,NDPKA038KFN,1,,142.6,22.82,165.42,SI,NO
80140,1571,21659,06/06/2022,16:31:22,06/06/2022,16:31:39,NDPKA024GYD,1,,26.64,4.26,30.9,NO,NO
80141,1520,21450,06/06/2022,16:34:18,06/06/2022,16:34:36,NDPLI032UDC,1,,38.62,6.18,44.8,NO,NO
80142,1520,21662,06/06/2022,16:38:22,06/06/2022,16:38:32,NDPLI031OYU,1,,39.48,6.32,45.8,NO,NO
80143,1520,21668,06/06/2022,16:38:50,06/06/2022,16:38:56,NDPLI032KEE,1,,7.72,1.24,8.96,NO,NO
80144,1520,21703,06/06/2022,16:39:13,06/06/2022,16:39:24,NDPLI032KWY,1,,43.71,6.99,50.7,NO,NO
80145,1571,21737,06/06/2022,16:41:14,06/06/2022,16:41:22,NDPKA026GKK,1,,11.21,1.79,13,NO,NO
80146,1520,21762,06/06/2022,16:44:17,06/06/2022,16:44:39,NDPLI032W9A,1,,41.81,6.69,48.5,NO,NO
80147,1520,21764,06/06/2022,16:45:12,06/06/2022,16:45:19,NDPLI028830,1,,15.09,2.41,17.5,NO,NO
80148,1571,21771,06/06/2022,16:53:27,06/06/2022,16:56:15,NDPKA033JSH,1,,157.42,25.18,182.6,NO,NO
80149,1571,21776,06/06/2022,17:01:06,06/06/2022,17:01:21,NDPKA02429C,1,,55.6,8.9,64.5,NO,NO
80150,1520,21788,06/06/2022,17:04:06,06/06/2022,17:04:19,NDPLI027FGP,1,,63.54,10.17,73.71,NO,NO
80151,1520,21807,06/06/2022,17:04:37,06/06/2022,17:04:44,NDPLI031EE6,1,,19.74,3.16,22.9,NO,NO
80152,1040,21868,06/06/2022,17:07:27,06/06/2022,17:07:38,NDPYA033QTK,1,,22.24,3.55,25.79,NO,NO
80153,1040,22692,06/06/2022,17:10:00,06/06/2022,17:10:10,NDPYA018YVE,1,,28.36,4.54,32.9,NO,NO
80154,1040,22652,06/06/2022,17:10:40,06/06/2022,17:11:34,NDPYA022RTB,1,,118.28,18.92,137.2,SI,NO
80155,1040,21926,06/06/2022,17:11:51,06/06/2022,17:11:59,NDPYA0257DP,1,,74.57,11.93,86.5,NO,NO
80156,1040,21936,06/06/2022,17:12:29,06/06/2022,17:12:55,NDPYA031K11,1,,105.86,16.94,122.8,NO,NO
80157,1040,21964,06/06/2022,17:14:30,06/06/2022,17:14:33,NDPYA025ELV,1,,15.52,2.48,18,NO,NO
80158,1040,21890,06/06/2022,17:16:18,06/06/2022,17:16:45,NDPYA03384V,1,,94.4,15.1,109.5,NO,NO
80159,1040,23659,06/06/2022,17:17:59,06/06/2022,17:19:27,NDPYA039Y4L,1,,84.66,13.55,98.21,NO,NO
80160,1040,23724,06/06/2022,17:19:55,06/06/2022,17:20:03,NDPYA0374UF,1,,170.69,27.31,198,NO,NO
80161,1040,22700,06/06/2022,17:20:15,06/06/2022,17:20:43,NDPYA025S1Q,1,,79.48,12.72,92.2,NO,NO
80162,1040,22169,06/06/2022,17:29:29,06/06/2022,17:30:30,NDPYA039EGO,1,,201.63,32.26,233.89,NO,NO
80163,1040,22173,06/06/2022,17:30:48,06/06/2022,17:30:57,NDPYA032LPI,1,,172.24,27.56,199.8,NO,NO
80164,1040,22188,06/06/2022,17:31:45,06/06/2022,17:31:59,NDPYA030ROQ,1,,20.34,3.25,23.59,NO,NO
80165,1040,22200,06/06/2022,17:34:06,06/06/2022,17:34:43,NDPYA030MX6,1,,455.78,72.92,528.7,NO,NO
80166,1040,22270,06/06/2022,17:37:08,06/06/2022,17:38:11,NDPYA035ERO,1,,212.15,33.94,246.09,NO,NO
80167,1040,23087,06/06/2022,17:38:30,06/06/2022,17:39:29,NDPYA031UXX,1,,80.86,12.94,93.8,SI,NO
80168,1040,23110,06/06/2022,17:39:56,06/06/2022,17:40:02,NDPYA040H13,1,,43.02,6.88,49.9,NO,NO
80169,1040,23123,06/06/2022,17:40:59,06/06/2022,17:42:19,NDPYA035J3V,1,,323.45,51.75,375.2,NO,NO
80170,1040,22602,06/06/2022,17:42:41,06/06/2022,17:44:28,NDPYA028MFW,1,,319.66,51.17,370.83,SI,NO
80171,1040,23144,06/06/2022,17:44:54,06/06/2022,17:45:24,NDPYA034UDV,1,,170.78,27.33,198.11,NO,NO
80172,1040,23157,06/06/2022,17:45:36,06/06/2022,17:46:02,NDPYA035UB4,1,,86.65,13.85,100.5,NO,NO
80173,1040,22738,06/06/2022,17:46:13,06/06/2022,17:46:26,NDPYA031CT3,1,,17.16,2.75,19.91,NO,NO
80174,1040,22744,06/06/2022,17:46:35,06/06/2022,17:46:45,NDPYA0352CP,1,,48.11,7.69,55.8,NO,NO
80175,1040,23167,06/06/2022,17:47:00,06/06/2022,17:47:20,NDPYA028RZK,1,,61.04,9.76,70.8,NO,NO
80176,1040,22747,06/06/2022,17:47:37,06/06/2022,17:47:49,NDPYA038EZM,1,,46.55,7.45,54,NO,NO
80177,1040,23171,06/06/2022,17:48:19,06/06/2022,17:50:55,NDPYA0390GW,1,,566.56,90.65,657.21,NO,NO
80178,1040,22806,06/06/2022,17:51:10,06/06/2022,17:51:24,NDPYA024L9A,1,,77.16,12.35,89.51,NO,NO
80179,1040,23576,06/06/2022,17:51:31,06/06/2022,17:51:43,NDPYA027PQA,1,,76.72,12.28,89,NO,NO
80180,1040,23582,06/06/2022,17:51:54,06/06/2022,17:51:59,NDPYA032PSN,1,,38.71,6.19,44.9,NO,NO
80181,1040,23583,06/06/2022,17:52:04,06/06/2022,17:52:12,NDPYA028Y0V,1,,38.71,6.19,44.9,NO,NO
80182,1040,23600,06/06/2022,17:55:21,06/06/2022,17:55:30,NDPYA030AD2,1,,17.16,2.75,19.91,NO,NO
80183,1040,23199,06/06/2022,18:01:44,06/06/2022,18:01:50,NDPYA027D8U,1,,109.05,17.45,126.5,NO,NO
80184,1040,23211,06/06/2022,18:07:53,06/06/2022,18:10:19,NDPYA033XNV,1,,942.42,150.79,1093.21,NO,NO
80185,1040,23672,06/06/2022,18:10:32,06/06/2022,18:10:56,NDPYA024WCH,1,,214.66,34.35,249.01,NO,NO
80186,1040,23680,06/06/2022,18:11:14,06/06/2022,18:11:30,NDPYA025J8V,1,,28.36,4.54,32.9,NO,NO
80187,1040,23414,06/06/2022,18:12:05,06/06/2022,18:12:26,NDPYA026NFA,1,,146.55,23.45,170,SI,NO
80188,1040,23686,06/06/2022,18:13:26,06/06/2022,18:13:42,NDPYA0304SY,1,,29.22,4.67,33.89,NO,NO
80189,1040,23695,06/06/2022,18:16:02,06/06/2022,18:16:53,NDPYA027RF8,1,,55.09,8.82,63.91,NO,NO
80190,1040,23470,06/06/2022,18:17:51,06/06/2022,18:18:16,NDPYA032CTO,1,,198.79,31.81,230.6,SI,NO
80191,1040,23705,06/06/2022,18:23:20,06/06/2022,18:23:33,NDPYA025LOX,1,,89.66,14.35,104.01,NO,NO
80192,1040,23644,06/06/2022,18:30:09,06/06/2022,18:30:19,NDPYA0304LZ,1,,17.24,2.76,20,NO,NO
80193,1040,23648,06/06/2022,18:31:25,06/06/2022,18:31:48,NDPYA0291ZI,1,,89.91,14.39,104.3,NO,NO
80194,1040,23642,06/06/2022,18:32:02,06/06/2022,18:32:29,NDPYA0251G7,1,,111.12,17.77,128.89,NO,NO
80195,1040,23653,06/06/2022,18:32:39,06/06/2022,18:32:54,NDPYA035MX7,1,,170.69,27.31,198,NO,NO
80196,676,23901,06/06/2022,18:40:01,06/06/2022,18:39:57,FD-NDPGR0424X8,1,,20224.918,3235.9783,23460.736,SI,NO
80197,1520,24065,07/06/2022,08:35:11,07/06/2022,08:35:29,NDPLI0312ST,1,,65.09,10.41,75.5,NO,NO
80198,1571,24074,07/06/2022,08:37:37,07/06/2022,08:37:48,NDPKA0411IY,1,,38.71,6.19,44.9,NO,NO
80199,1571,24101,07/06/2022,08:47:50,07/06/2022,08:48:01,NDPKA037CMV,1,,154.31,24.69,179,NO,NO
80200,1571,24087,07/06/2022,08:48:17,07/06/2022,08:48:30,NDPKA041UA7,1,,34.05,5.45,39.5,NO,NO
80201,1520,24076,07/06/2022,08:53:10,07/06/2022,08:54:26,NDPLI0306D0,1,,199.39,31.9,231.29,NO,NO
80202,1571,23914,07/06/2022,08:58:04,07/06/2022,09:01:49,NDPKA038XW1,1,,1175.26,188.05,1363.31,SI,NO
80203,676,23951,07/06/2022,08:58:06,07/06/2022,08:58:06,NDPGR0400KI,1,,1196.14,191.37,1387.51,NO,NO
80204,1571,24088,07/06/2022,09:03:27,07/06/2022,09:04:09,NDPKA03476H,1,,73.62,11.78,85.4,NO,NO
80205,1571,23961,07/06/2022,09:05:27,07/06/2022,09:05:28,NDPKA0333C5,5,2135,50,0,50,NO,NO
80206,1571,24461,07/06/2022,09:05:36,07/06/2022,09:05:54,NDPKA036EQM,1,,68.62,10.98,79.6,NO,NO
80207,1571,24089,07/06/2022,09:08:35,07/06/2022,09:10:00,NDPKA0380NJ,1,,328.8,52.6,381.4,NO,NO
80208,1520,33741,07/06/2022,09:10:04,07/06/2022,09:10:17,NDPLI027Y9Z,1,,53.88,8.62,62.5,NO,NO
80209,1571,24844,07/06/2022,09:11:31,07/06/2022,09:11:44,NDPKA028M6C,1,,101.64,16.26,117.9,NO,NO
